"judgmentfile","nc"
"201300000012017_6.pdf","2017:SHC:150"
"201100000482017_27.pdf","2020:SHC:108"
"203100000082009_1.pdf","2009:SHC:29"
"201300000132013_6.pdf","2014:SHC:18"
"201300000122016_6.pdf","2017:SHC:141"
"201100000062016_11.pdf","2017:SHC:158"
"201100000122020_6.pdf","2020:SHC:111"
"202100000122021_6.pdf","2022:SHC:176-DB"
"201100000232020_19.pdf","2023:SHC:30"
"201900000042007_1.pdf","2008:SHC:45"
"203100000022014_2.pdf","2014:SHC:27"
"200200000022015_19.pdf","2017:SHC:160"
"201100000392016_9.pdf","2017:SHC:201"
"202200000042020_4.pdf","2020:SHC:114"
"201100000202009_1.pdf","2009:SHC:40"
"201100000242009_1.pdf","2009:SHC:65"
"200200000022015_20.pdf","2017:SHC:159"
"204600000012020_3.pdf","2021:SHC:16-DB"
"203100000092009_1.pdf","2009:SHC:67"
"201100000392009_1.pdf","2010:SHC:28"
"201100000262009_1.pdf","2011:SHC:22"
"201100000152013_8.pdf","2014:SHC:36"
"202100000082017_6.pdf","2017:SHC:231-DB"
"200100000092018_12.pdf","2020:SHC:146"
"202100000122022_5.pdf","2023:SHC:38-DB"
"201100000292009_1.pdf","2009:SHC:55"
"201100000152013_9.pdf","2014:SHC:37"
"201700000012017_2.pdf","2017:SHC:168"
"201300000022022_5.pdf","2023:SHC:40"
"201100000572017_2.pdf","2017:SHC:233-DB"
"200400000052019_16.pdf","2020:SHC:185"
"201900000032009_1.pdf","2009:SHC:56"
"200100000012008_1.pdf","2010:SHC:19"
"202000000022016_14.pdf","2017:SHC:173"
"203600000052020_2.pdf","2021:SHC:23-DB"
"201500000012010_1.pdf","2010:SHC:26"
"201100000382009_1.pdf","2010:SHC:36"
"200600000032010_1.pdf","2010:SHC:47"
"201700000032010_1.pdf","2010:SHC:57"
"201100000472013_6.pdf","2014:SHC:80"
"201100000202017_11.pdf","2017:SHC:242"
"202600000152017_25.pdf","2021:SHC:28-DB"
"200100000052019_14.pdf","2021:SHC:132"
"202600000132014_6.pdf","2014:SHC:88"
"202600000042016_11.pdf","2017:SHC:186-DB"
"202300000062015_20.pdf","2017:SHC:261"
"201700000022020_3.pdf","2021:SHC:27"
"202600000072021_1.pdf","2021:SHC:151-DB"
"202100000012009_1.pdf","2010:SHC:11"
"201300000052009_1.pdf","2010:SHC:14"
"203200000132017_1.pdf","2017:SHC:278"
"201100000282020_5.pdf","2021:SHC:26"
"201900000112014_2.pdf","2014:SHC:90"
"200600000012021_1.pdf","2021:SHC:29"
"201900000042019_6.pdf","2021:SHC:30"
"201500000012021_2.pdf","2021:SHC:31"
"200400000092019_19.pdf","2021:SHC:164"
